bench,ASTR-time (ms),ASTR-calls,ASTR-error,SPF-error,Z3-time (ms),Z3-calls,Z3-error,spf-z3-cputime (s),spf-z3-walltime (s),z3-status,spf-astr-cputime (s),spf-astr-walltime (s),astr-status
Browser_1,0,1,1,0,212,13,0,2.03,0.98,false,1.6,0.71,unknown
BuildCompat,16,1,0,0,26,1,0,1.58,0.71,unknown,1.62,0.71,unknown
CCursorKeyBehavior,0,1,1,0,33423,3445,0,60.79,57.01,TIMEOUT,1.65,0.72,unknown
CDelKeyBehavior,0,1,1,0,618,68,0,3.61,1.94,false,2.04,0.82,unknown
CIDRUtils,25,2,0,0,47,2,0,1.7,0.75,false,1.83,0.76,false
CMultiCommentLineTokenizer,0,1,0,1,90,8,0,1.94,0.85,true,1.6,0.71,unknown
CReturnKeyBehavior,0,1,1,0,10229,1136,0,17.89,14.5,true,1.78,0.74,unknown
CSV,0,1,0,1,0,1,1,1.66,0.71,unknown,1.58,0.7,unknown
CTemplateNumberFormat,0,1,1,0,113,13,0,1.82,0.81,false,1.68,0.72,unknown
CallingCodeInfo,15,3,1,0,49,3,0,1.82,0.76,unknown,1.87,0.76,unknown
CallingCodeInfo_1,14,3,1,0,48,3,0,1.7,0.74,unknown,1.78,0.74,unknown
CamundaBpmRunAuthenticationProperties,21,2,0,0,41,2,0,1.74,0.75,false,1.76,0.73,false
CategoryWordTag,0,1,1,0,83,7,0,1.89,0.82,false,1.77,0.75,unknown
Cell,20,2,1,0,55,3,0,1.76,0.75,false,1.79,0.74,unknown
CentralCollector,37,2,1,0,43,2,0,1.66,0.7,true,1.85,0.76,unknown
ChangeUsernameActivity,0,1,1,0,144,15,1,2.17,0.97,unknown,1.79,0.76,unknown
Chromium,30,2,1,0,20173,2485,0,45.58,40.96,unknown,1.92,0.8,unknown
ClassPathProcessApplicationScanner,30,2,0,0,76,6,0,1.73,0.75,true,1.69,0.75,unknown
CleanNodeFormatter,87,8,0,0,147,8,0,1.93,0.86,true,2.04,0.84,true
Cling,203,11,0,1,130,11,0,1.91,0.81,unknown,2.57,0.99,unknown
ClojureUtil,40,5,0,0,74,5,0,1.7,0.71,false,1.78,0.74,false
CoNLLBenchmark,39,5,0,0,72,3,0,60.43,59.69,TIMEOUT,2.0,0.83,unknown
CoNLLFeaturizer,35,4,0,0,65,3,0,60.43,59.78,TIMEOUT,1.76,0.74,true
CoNLLUDocumentWriter,0,1,1,0,11197,1238,0,17.28,14.27,true,1.78,0.77,unknown
ColorParser,0,1,0,1,36,2,1,1.76,0.76,unknown,1.68,0.73,unknown
ColorParser_1,0,1,0,1,27,2,1,1.75,0.74,unknown,1.69,0.72,unknown
CommandPattern,0,1,1,0,288,31,1,2.58,1.16,unknown,1.8,0.75,unknown
CommentManager,0,1,1,0,550,44,0,2.75,1.4,true,1.6,0.68,unknown
CompactMediaTypeIdConverter,0,1,1,0,10111,510,0,16.37,13.87,true,1.6,0.68,unknown
ComparisonCompactor,25,2,1,0,32809,3204,0,60.89,56.38,TIMEOUT,1.75,0.79,unknown
CompoundEmoji,0,1,1,0,44,4,0,1.76,0.74,true,1.64,0.73,unknown
Config,0,1,1,0,15,1,1,1.92,0.8,unknown,1.84,0.77,unknown
Config_1,21,1,0,0,30,1,0,1.72,0.74,unknown,1.72,0.72,unknown
Converter,23,3,1,0,40,3,1,1.62,0.7,unknown,1.75,0.75,unknown
CoreOjClassLoader,33,2,0,0,49,2,0,1.67,0.74,true,1.74,0.77,true
CoreTextContentNodeRenderer,24,3,1,0,60,4,0,1.81,0.78,true,1.75,0.72,unknown
CronTabUtils,0,1,1,0,205,22,0,1.98,0.94,unknown,1.68,0.73,unknown
DSelectColumnsParser,0,1,1,0,351,29,1,2.58,1.25,unknown,1.72,0.74,unknown
DailyRotateLogStore,22,2,0,0,34,2,0,1.73,0.73,false,1.88,0.76,false
DataFilePaths,70,4,0,0,71,4,0,1.77,0.74,true,1.92,0.79,true
DatabaseUrlReplacer,276,9,0,0,1127,9,0,2.75,1.81,unknown,2.75,1.09,unknown
DbleHintParser,0,1,1,0,661,23,0,2.35,1.43,false,1.69,0.75,unknown
DescriptorUtils,0,1,1,0,0,1,1,1.51,0.7,unknown,1.61,0.7,unknown
Deserializer,0,1,0,1,29318,44,0,33.1,31.53,false,2.15,0.83,unknown
DesyncBox,188,3,0,0,62,3,0,1.78,0.78,false,2.4,0.93,false
DialogueOverlay,18,2,1,0,156,15,0,1.85,0.85,unknown,1.61,0.71,unknown
DirectObjectLessonIT,5879,11,0,0,114,12,0,60.45,59.49,TIMEOUT,22.07,10.92,OUT OF MEMORY
DocumentUtils,0,1,1,0,0,1,1,1.59,0.67,unknown,1.79,0.77,unknown
DolphinSchedulerTokenManager_1_X,23,2,0,0,47,2,0,1.78,0.74,true,1.86,0.78,true
DomStringUtil,0,1,1,0,37,4,1,1.62,0.72,unknown,1.65,0.71,unknown
DomXPathNamespaceResolver,30,3,0,0,47,3,0,1.71,0.73,unknown,1.73,0.76,unknown
DorisDelimiterParser,19,1,0,1,63,1,0,2.22,1.25,unknown,1.75,0.78,unknown
DrillAssert,0,1,2,0,40882,4608,0,60.91,56.74,TIMEOUT,1.7,0.75,unknown
DruidPlugin,77,5,1,0,467,13,0,2.33,1.2,false,2.08,0.82,unknown
DtsHelper,27,1,1,0,25,1,1,1.5,0.67,unknown,1.76,0.73,unknown
DumpMetrics,26,1,1,0,30,1,1,1.57,0.68,unknown,1.72,0.72,unknown
ElideStandaloneExportTest,316,24,0,0,256,24,0,2.21,0.94,true,3.0,1.1,true
EmbeddingExtractor,130,10,1,0,117,10,1,1.77,0.78,unknown,2.22,0.89,unknown
Emitter,0,1,1,0,74,8,0,1.93,0.81,unknown,1.55,0.69,unknown
EmojiManager,19,3,1,0,132,14,0,2.11,0.88,true,1.77,0.74,unknown
EnableScoreboardIT,12036,6,0,0,180,14,1,2.2,0.94,unknown,27.6,13.62,OUT OF MEMORY
EntitiesToUnicode,23,2,1,0,40,2,1,1.74,0.75,unknown,1.72,0.72,unknown
EqlAdapter,18,3,1,0,257,28,0,2.2,1.03,true,1.75,0.75,unknown
EscapeUtils,0,1,2,0,0,1,1,1.7,0.74,unknown,1.93,0.84,unknown
EscapeUtils_1,0,1,2,0,0,1,1,1.62,0.71,unknown,1.86,0.8,unknown
ExtendedScrollTable,0,1,1,0,40,2,0,1.85,0.77,false,1.73,0.75,unknown
ExtensibilityTest,204,14,0,0,186,14,0,2.16,0.91,true,2.55,0.99,true
ExternalProcessOutputParser,16,2,0,0,53,2,0,1.79,0.77,false,1.84,0.77,false
ExtractIE,0,1,1,0,5684,8,0,8.32,6.64,true,2.31,0.89,unknown
ExtractorVerbalVBNZero,37,6,0,0,70,6,0,1.76,0.75,true,1.83,0.77,true
FFmpegParser,57,2,0,0,30,2,0,27.7,26.8,OUT OF MEMORY,1.86,0.78,true
FLVDownloader,37,3,1,0,68,5,0,1.87,0.8,false,1.9,0.84,unknown
FSFunction,24,2,0,0,50,2,0,1.62,0.71,true,1.72,0.72,true
FeedUtils,30,2,1,0,40,2,1,2.35,0.9,unknown,2.39,0.91,unknown
FieldMetadata,17,1,1,0,25,1,1,1.57,0.68,unknown,1.65,0.72,unknown
FileLogger,0,1,1,0,282,29,0,2.72,1.21,unknown,2.46,0.95,unknown
FileUtils,28,2,0,0,40,2,0,1.77,0.74,false,1.89,0.78,false
Firefox,0,1,1,0,56561,95,0,60.58,58.74,TIMEOUT,2.12,0.83,unknown
FlowClassUtils,0,1,1,0,0,1,1,1.71,0.73,unknown,1.66,0.72,unknown
FolderTree,18,2,1,0,45,4,1,1.66,0.71,unknown,1.78,0.73,unknown
FontUtil,114,4,1,0,271,5,1,2.2,1.04,unknown,2.1,0.85,unknown
FreeMarkerScriptEngineFactory,254,7,0,0,85,7,0,1.88,0.78,false,2.58,1.01,false
GeneralClusterLogic,25,3,1,0,62,4,0,1.63,0.74,true,1.66,0.71,unknown
GenericType,0,1,1,0,23,2,0,1.75,0.71,unknown,1.76,0.74,unknown
GoogleCloudExtensionModule,28,2,0,0,36,2,0,1.61,0.71,false,1.73,0.74,false
GraphqlController,0,1,1,0,80,8,0,1.73,0.75,true,1.73,0.75,unknown
GrayscaleRocketmqTest,29,3,1,0,328,34,0,2.86,1.23,true,2.15,0.86,unknown
HTMLEditorUtils,302,24,0,0,221,24,0,1.9,0.88,true,2.9,1.07,true
HTMLParser,0,1,1,0,43,4,1,1.67,0.72,unknown,1.71,0.72,unknown
HintMasterDBHandler,20,1,1,0,25,1,1,1.55,0.66,unknown,1.66,0.72,unknown
HiveSqlDialect,544,4,1,0,135,10,0,1.82,0.8,true,3.06,1.27,unknown
HostFragmentManualConfiguration,0,1,1,0,31,2,0,1.72,0.75,unknown,1.78,0.76,unknown
HtmlEncoder,0,1,2,0,0,1,1,1.65,0.7,unknown,1.8,0.75,unknown
HtpasswdFileUserAuthenticator,86,5,0,0,98,5,0,1.83,0.79,unknown,2.11,0.84,unknown
HttpGetFileTask,0,1,1,0,0,1,1,1.66,0.72,unknown,1.79,0.75,unknown
HttpRequest,0,1,1,0,91,10,1,1.76,0.8,unknown,1.79,0.73,unknown
HttpRouter,29,4,0,0,55,4,0,1.71,0.72,false,1.68,0.71,false
HttpServerHandler,18,3,1,0,73,6,0,1.71,0.74,true,1.59,0.7,unknown
HttpdUtils,22,1,1,0,26,1,1,1.54,0.7,unknown,1.69,0.74,unknown
HyphenationTree,0,1,0,1,0,1,0,1.71,0.74,unknown,1.79,0.75,unknown
IdentifiersRegister,18,1,0,0,25,1,0,1.6,0.69,unknown,1.67,0.7,unknown
ImageHelper,180,2,1,0,0,1,0,60.42,59.74,TIMEOUT,2.61,1.0,unknown
ImageKit,22,2,0,0,44,2,0,2.19,0.84,false,2.22,0.87,false
ImageMapUtils,0,1,1,0,218,25,1,2.0,0.95,unknown,1.74,0.74,unknown
ImageName,30,1,0,0,33,1,0,1.62,0.71,unknown,1.83,0.74,unknown
ImpersonationUtil,23,1,0,0,26,1,0,1.53,0.68,unknown,1.75,0.72,unknown
Include,16,2,1,0,24,2,1,1.59,0.66,unknown,1.55,0.69,unknown
InetAddresses,0,1,1,0,233,26,1,2.0,0.99,unknown,1.89,0.79,unknown
Info,24,3,1,0,63,5,1,1.59,0.7,unknown,1.78,0.75,unknown
InfoObj,0,1,1,0,39,2,0,1.62,0.69,false,1.54,0.67,unknown
InlineBox,0,1,1,0,32412,3675,0,45.75,41.72,true,1.78,0.76,unknown
InsnText,0,1,1,0,0,1,1,1.63,0.73,unknown,1.61,0.69,unknown
ItemFuncGetFormat,168,36,0,0,344,36,0,2.25,1.04,true,2.67,1.06,true
ItemFuncUnhex,0,1,1,0,0,1,1,2.03,1.06,unknown,1.97,1.05,unknown
Items,24044,1102,0,0,24937,862,0,28.04,26.07,true,42.33,26.1,true
Jable,0,1,1,0,48,2,0,2.07,0.79,false,2.13,0.84,unknown
JarUtil,0,1,1,0,0,1,0,60.44,59.6,TIMEOUT,2.36,0.94,unknown
JavaScanner,16,2,1,0,89,8,0,1.84,0.8,true,1.74,0.74,unknown
JavaTemplateDateFormatFactory,0,1,2,0,0,1,1,1.69,0.73,unknown,1.67,0.69,unknown
JavaWebClassVisitor,272,6,0,0,36,2,0,1.6,0.71,true,2.56,0.99,true
Jianpian,54,4,0,0,61,4,0,1.87,0.75,unknown,2.11,0.84,unknown
JpqlFunctionUtil,42,7,0,1,33,4,1,1.76,0.75,unknown,1.84,0.8,unknown
JsonApiController,0,1,1,0,76,8,0,1.77,0.76,true,1.66,0.71,unknown
KBPAnnotatorBenchmark,349,14,0,0,150,14,0,1.95,0.82,true,3.08,1.19,true
KeycloakExportProvider,74,2,0,0,47,2,0,1.64,0.72,true,2.0,0.83,true
KeycloakImportProvider,81,2,0,0,47,2,0,1.66,0.71,true,1.9,0.81,true
KeywordSearchUtil,0,1,1,0,0,1,1,1.76,0.73,unknown,1.71,0.73,unknown
LevenshteinDistance,0,1,0,1,725,59,1,3.09,1.71,unknown,1.66,0.75,unknown
LightCache,0,1,1,0,62,6,0,1.84,0.79,true,1.64,0.72,unknown
LightCache_1,0,1,1,0,82,6,0,2.04,0.84,true,1.7,0.72,unknown
LinkPreview,0,1,1,0,73,8,0,1.93,0.85,unknown,1.84,0.79,unknown
Location,32,2,1,0,81,6,1,1.75,0.76,unknown,1.81,0.77,unknown
LuceneSearchResult,41,3,1,0,104,10,0,1.78,0.8,true,1.73,0.73,unknown
M4SDownloader,31,2,1,0,40,2,1,1.71,0.74,unknown,1.77,0.75,unknown
MWTAnnotator,17,2,0,0,37,2,0,1.65,0.72,false,1.89,0.8,false
Main,34,4,1,0,120,7,1,2.25,0.9,unknown,2.13,0.86,unknown
ManagerParse,0,1,1,0,0,1,1,2.08,0.84,unknown,2.08,0.84,unknown
ManagerParseCheck,0,1,1,0,41610,2160,0,60.79,56.71,TIMEOUT,1.79,0.79,unknown
ManagerParseClear,0,1,1,0,41223,2341,0,60.78,56.92,TIMEOUT,1.62,0.73,unknown
ManagerParseConfig,0,1,1,0,40227,2770,0,60.84,57.22,TIMEOUT,1.66,0.76,unknown
ManagerParseHeartbeat,0,1,1,0,50490,1721,0,60.72,57.44,TIMEOUT,1.64,0.72,unknown
ManagerParseOnOff,0,1,1,0,45797,1153,0,60.62,57.5,TIMEOUT,1.63,0.72,unknown
ManagerParseReload,0,1,1,0,7600,416,1,13.55,11.09,unknown,2.01,0.82,unknown
ManagerParseRollback,0,1,1,0,42915,2567,0,60.7,57.44,TIMEOUT,1.56,0.69,unknown
ManagerParseShow,0,1,1,0,24780,980,1,34.96,31.45,unknown,2.42,0.93,unknown
ManagerParseStop,0,1,1,0,3568,182,0,60.49,58.95,TIMEOUT,1.65,0.71,unknown
Markup,0,1,1,0,0,1,1,1.74,0.74,unknown,1.86,0.79,unknown
MaybePatterns,40,5,1,0,67,5,1,1.72,0.74,unknown,1.76,0.74,unknown
MergeAdapter,46,5,1,0,71,5,1,1.86,0.76,unknown,1.76,0.79,unknown
MessageConsumerOutputStream,22,3,0,0,118,8,1,1.8,0.79,unknown,61.02,56.33,TIMEOUT
MessagePreviewParams,0,1,1,0,604,66,0,3.22,1.61,true,1.8,0.77,unknown
MethodELProcessor,66,4,1,0,318,30,0,2.57,1.23,unknown,2.09,0.85,unknown
MethodResult,0,1,0,1,57,4,0,1.94,0.8,true,1.73,0.74,unknown
Model,22,2,1,0,37,2,1,1.6,0.69,unknown,1.7,0.72,unknown
ModuleAttribution,51,4,1,0,467,50,0,2.69,1.37,true,1.92,0.8,unknown
ModuleDeviceId,25,3,1,0,2659,286,0,6.26,4.05,true,1.79,0.76,unknown
ModulePlan,49,4,0,0,58,4,0,1.67,0.7,false,1.79,0.75,false
MoreConfigDefaults,16,2,1,0,26,2,1,1.63,0.71,unknown,1.65,0.71,unknown
Mutf8,0,1,1,0,24,3,1,1.69,0.73,unknown,1.69,0.73,unknown
MyStringEscaper,0,1,1,0,221,25,1,2.03,0.99,unknown,1.75,0.76,unknown
NacosServiceNotify,20,3,1,0,8357,948,0,13.23,10.79,true,1.76,0.74,unknown
NamePatternUtil,31,2,1,0,44,2,1,1.67,0.71,unknown,1.82,0.78,unknown
NameUtils,0,1,1,0,93,8,1,1.78,0.79,unknown,1.81,0.75,unknown
NetworkFile,17,2,1,0,26,2,1,1.74,0.74,unknown,1.85,0.81,unknown
NewMybatisProcessor,88,8,0,0,164,8,0,1.72,0.8,true,2.04,0.81,true
NoticeFilesTest,0,1,2,0,0,1,1,1.75,0.73,unknown,1.78,0.73,unknown
NumberParseUtil,33,3,1,0,0,1,1,1.53,0.68,unknown,1.75,0.76,unknown
OracleDbmsDialect,23,2,0,0,38,2,0,1.73,0.74,false,1.69,0.73,false
OracleTranslator,0,1,1,0,153,15,0,2.11,0.92,unknown,1.76,0.75,unknown
OrmQueryDetailParser,0,1,1,0,179,20,0,2.2,0.93,true,1.56,0.68,unknown
Output,35,3,0,0,43,3,0,1.79,0.74,false,1.77,0.77,false
PApplet,0,1,2,0,0,1,1,2.08,0.82,unknown,1.97,0.83,unknown
PDFFontEncoding,240,6,0,0,73,6,0,1.65,0.73,false,2.54,0.98,false
PDFStringUtil,0,1,1,0,40,4,0,1.8,0.76,unknown,1.7,0.77,unknown
PGMImage,0,1,1,0,29,1,0,1.69,0.73,unknown,1.58,0.72,unknown
PageSqlKit,0,1,1,0,0,1,1,1.73,0.7,unknown,1.77,0.74,unknown
ParseException,0,1,1,0,274,31,1,2.13,1.06,unknown,1.81,0.77,unknown
ParseException_1,0,1,1,0,301,31,1,2.15,1.07,unknown,1.82,0.78,unknown
ParseException_10,0,1,1,0,298,31,1,2.49,1.22,unknown,1.81,0.77,unknown
ParseException_2,0,1,1,0,289,31,1,2.09,1.09,unknown,1.9,0.8,unknown
ParseException_3,0,1,1,0,299,31,1,2.22,1.1,unknown,1.84,0.78,unknown
ParseException_5,0,1,1,0,305,31,1,2.24,1.1,unknown,1.74,0.74,unknown
ParseException_6,0,1,1,0,284,31,1,2.3,1.17,unknown,1.87,0.8,unknown
ParseException_7,0,1,1,0,307,31,1,2.27,1.1,unknown,1.84,0.78,unknown
ParseException_8,0,1,1,0,314,31,1,2.26,1.13,unknown,1.84,0.8,unknown
ParseException_9,0,1,1,0,363,31,1,2.38,1.23,unknown,1.81,0.77,unknown
ParseFetchConfig,0,1,1,0,40,2,0,1.69,0.74,false,1.66,0.72,unknown
Parser,18,1,1,0,25,1,1,1.6,0.71,unknown,1.9,0.81,unknown
PartitionByDate,0,1,1,0,27,1,0,1.67,0.69,unknown,1.63,0.73,unknown
PathToJavaClassConverter,0,1,1,0,0,1,1,1.84,0.79,unknown,1.65,0.75,unknown
PathUtil,2398,126,0,0,1970,126,0,4.34,2.82,true,10.13,3.47,true
PathUtil_1,2300,126,0,0,2076,126,0,4.37,2.91,true,9.79,3.39,true
PathUtil_2,2599,126,0,0,2120,126,0,4.47,2.94,true,10.43,3.65,true
PdfChunk,0,1,1,0,0,1,1,1.84,0.79,unknown,1.88,0.78,unknown
PermissionParser,35,4,1,0,111,10,1,1.78,0.82,unknown,1.79,0.76,unknown
PermissionsFragment,26,2,0,0,36,2,0,1.66,0.72,true,1.83,0.87,true
PhoneRule,0,1,1,0,212,24,1,2.1,1.0,unknown,1.8,0.74,unknown
PhoneRule_1,0,1,1,0,222,24,1,2.42,1.02,unknown,1.83,0.77,unknown
PineConfig,20,1,0,0,45,1,0,1.74,0.77,unknown,1.62,0.73,unknown
PlantUMLImporter,0,1,1,0,506,14,1,2.44,1.23,unknown,1.61,0.68,unknown
PlatformTypeConverter,0,1,1,0,0,1,1,1.72,0.74,unknown,1.7,0.73,unknown
PluginManifestParser,30,4,0,0,72,4,0,1.69,0.73,true,1.72,0.73,true
PoorValidationLessonIT,6104,114,0,0,96,11,0,60.45,59.53,TIMEOUT,17.64,7.39,true
PostgreSqlDataSourceInfo,0,1,1,0,947,8,0,60.43,59.72,TIMEOUT,1.64,0.73,unknown
ProtocolRigidityTest,43,2,0,0,36,2,0,1.78,0.74,true,1.8,0.73,true
ProxyUserSSOUtils,23,2,1,0,1158,4,0,2.71,1.82,false,1.86,0.79,unknown
PunctEquivalenceClasser,33,3,0,0,60,3,0,1.64,0.72,unknown,1.81,0.75,unknown
QueryTestUtil,117,3,1,0,85,5,0,1.82,0.78,unknown,2.12,0.84,unknown
RedirectRender,0,1,1,0,996,5,0,60.45,59.51,TIMEOUT,1.77,0.75,unknown
Reformatter,17,1,0,1,25,1,0,1.66,0.69,unknown,1.6,0.69,unknown
RegexPartialAttribute,0,1,1,0,23,1,1,1.65,0.71,unknown,1.75,0.75,unknown
ReloadStatus,51,6,0,0,68,6,0,1.7,0.72,true,1.79,0.74,true
ReplyLegal,21,1,1,0,27,1,1,1.69,0.73,unknown,1.77,0.74,unknown
Resin,0,1,1,0,914,101,1,3.6,1.92,unknown,1.71,0.74,unknown
ResizeCommand,22,3,1,0,907,106,0,3.35,1.85,true,1.78,0.76,unknown
ResourcesExtractor,21,2,0,0,41,2,0,1.66,0.72,false,1.71,0.71,false
ResponseParser,75,3,1,0,55,3,1,1.56,0.69,unknown,1.83,0.77,unknown
ResponseTest,32,3,1,0,402,30,0,2.82,1.2,true,1.86,0.78,unknown
RocketMqProhibitionTest,1561,1485,0,0,17588,1885,0,60.88,54.41,TIMEOUT,30.84,14.22,true
RouterTest,0,1,1,0,23712,2845,0,60.34,54.8,TIMEOUT,1.73,0.73,unknown
RwSplitServerParse,0,1,1,0,0,1,1,1.78,0.73,unknown,1.86,0.79,unknown
RwSplitServerParseSelect,0,1,1,0,356,28,0,2.22,1.18,unknown,1.56,0.7,unknown
RwSplitServerParseStart,0,1,1,0,48200,1214,0,54.92,52.1,true,1.63,0.71,unknown
Samba,25,2,0,0,33,2,0,1.64,0.69,unknown,1.8,0.75,unknown
ScoreboardStatus,122,6,0,0,73,6,0,1.73,0.73,false,2.13,0.83,false
ScriptPidUtilsTest,266,6,0,0,68,6,0,1.88,0.76,true,2.74,1.1,true
ScriptPrepareParse,0,1,1,0,1935,187,0,5.39,3.52,unknown,1.7,0.72,unknown
SearchCounterView,34,2,1,0,55,4,1,1.78,0.76,unknown,1.76,0.79,unknown
SearchCounterView_1,21,2,1,0,57,4,1,1.84,0.76,unknown,1.82,0.76,unknown
SecorConfig,37,2,1,0,467,4,0,4.41,2.49,false,2.25,0.91,unknown
SecurityMisconfigLessonIT,21240,376,0,0,2810,28,0,60.46,59.45,TIMEOUT,35.05,23.13,true
SeparatorConverter,0,1,1,0,216,25,0,1.98,0.94,false,1.76,0.75,unknown
Serial,0,1,0,1,0,1,0,1.76,0.75,unknown,1.77,0.77,unknown
ServerComponentHealthAggregator,20,1,1,0,26,1,1,1.63,0.72,unknown,1.72,0.71,unknown
ServerParseSelect,0,1,1,0,50259,1017,0,60.65,57.45,TIMEOUT,1.92,0.79,unknown
ServerParseShow,0,1,1,0,0,1,1,1.78,0.73,unknown,1.82,0.76,unknown
ServerParseStart,0,1,1,0,48749,1285,0,60.68,57.32,TIMEOUT,1.64,0.72,unknown
ServerParseValidations,0,1,1,0,43882,2457,0,60.78,56.84,TIMEOUT,2.04,0.81,unknown
ServerRunner,0,1,1,0,15,1,0,1.99,0.77,unknown,1.8,0.75,unknown
ShardingServerParse,0,1,1,0,0,1,1,1.69,0.73,unknown,1.68,0.77,unknown
ShareOpenActivity,64,6,0,0,98,6,0,1.72,0.74,true,1.9,0.79,true
ShiftReduceUtils,25,3,0,0,321,34,0,2.18,1.1,true,1.76,0.74,unknown
ShortenedThrowableConverter,24,3,1,0,52,3,0,1.91,0.77,unknown,1.92,0.79,unknown
SikuliIDEPopUpMenu,53,5,0,0,67,5,0,1.84,0.77,false,1.92,0.78,false
SniSslContextDeserializer,21,1,1,0,61,1,1,2.35,1.36,unknown,1.6,0.74,unknown
SongInformation,18,2,1,0,26,2,1,1.78,0.78,unknown,1.86,0.82,unknown
SongUtils,26,3,1,0,76,4,0,1.66,0.74,true,1.83,0.77,unknown
SplitName,0,1,1,0,258,27,1,2.12,1.04,unknown,1.76,0.76,unknown
SplitUtil,0,1,0,1,0,1,1,2.03,0.8,unknown,1.97,0.79,unknown
SpringBootVFS,20,2,0,0,36,2,0,1.61,0.68,true,1.73,0.74,true
SqlFilter,20,1,1,0,27,1,1,1.55,0.65,unknown,1.6,0.69,unknown
SqlInjectionLessonIT,24692,472,0,0,1093,15,0,60.44,59.61,TIMEOUT,40.25,26.87,true
SqlServerTranslator,33,4,1,0,147,16,0,1.84,0.83,true,1.86,0.78,unknown
StopCommand,0,1,1,0,0,1,1,1.58,0.69,unknown,1.6,0.71,unknown
StrKit,0,1,1,0,0,1,1,1.56,0.69,unknown,1.8,0.76,unknown
StringBuilderUtils,0,1,1,0,0,1,1,1.65,0.71,unknown,1.65,0.7,unknown
StringDictionary,0,1,1,0,18,1,1,1.77,0.74,unknown,1.84,0.79,unknown
StringEncoding,0,1,2,0,0,1,1,1.99,0.79,unknown,2.07,0.81,unknown
StringExt,0,1,1,0,55,5,0,1.87,0.75,false,1.69,0.75,unknown
StringHelper,0,1,0,1,0,1,1,1.71,0.73,unknown,1.61,0.7,unknown
StringUtils,0,1,0,1,40,5,1,1.88,0.79,unknown,1.91,0.78,unknown
SuggestEmojiView,0,1,1,0,51,4,0,1.81,0.77,unknown,1.85,0.81,unknown
SuggestEmojiView_1,0,1,1,0,40,4,0,1.79,0.77,unknown,1.72,0.75,unknown
SystemProfilerParser,74,4,1,0,280,6,0,1.98,0.98,false,2.17,0.9,unknown
TagRouterAzTest,574,49,1,0,5467,726,0,9.84,7.53,true,4.16,1.51,unknown
TagRouterTest,454,118,0,0,934,118,0,4.28,1.97,true,5.16,1.76,true
