bench,Z3-time (ms),Z3-calls,Z3-error,ASTR-time (ms),ASTR-calls,ASTR-error,SPF-error,spf-z3-cputime (s),spf-z3-walltime (s),z3-status,spf-astr-cputime (s),spf-astr-walltime (s),astr-status,astr-log,z3-log,benchmark
ClojureUtil,74,5,0,40,5,0,0,1.7,0.71,false,1.78,0.74,false,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.ClojureUtil.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.ClojureUtil.yml.log,sv-benchmarks/java/argv/JYso/src.main.java.com.qi4l.JYso.gadgets.utils.clojure/ClojureUtil/Main.java
CoNLLBenchmark,72,3,0,39,5,0,0,60.43,59.69,TIMEOUT,2.0,0.83,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.CoNLLBenchmark.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.CoNLLBenchmark.yml.log,sv-benchmarks/java/argv/CoreNLP/src.edu.stanford.nlp.loglinear.benchmarks/CoNLLBenchmark/Main.java
CoNLLFeaturizer,65,3,0,35,4,0,0,60.43,59.78,TIMEOUT,1.76,0.74,true,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.CoNLLFeaturizer.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.CoNLLFeaturizer.yml.log,sv-benchmarks/java/argv/CoreNLP/src.edu.stanford.nlp.loglinear.benchmarks/CoNLLFeaturizer/Main.java
Config_1,30,1,0,21,1,0,0,1.72,0.74,unknown,1.72,0.72,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.Config_1.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.Config_1.yml.log,sv-benchmarks/java/argv/mcaselector/src.main.java.net.querz.mcaselector.config/Config_1/Main.java
CoreOjClassLoader,49,2,0,33,2,0,0,1.67,0.74,true,1.74,0.77,true,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.CoreOjClassLoader.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.CoreOjClassLoader.yml.log,sv-benchmarks/java/argv/AndroidHiddenApiBypass/library.src.main.java.org.lsposed.hiddenapibypass/CoreOjClassLoader/Main.java
DailyRotateLogStore,34,2,0,22,2,0,0,1.73,0.73,false,1.88,0.76,false,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.DailyRotateLogStore.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.DailyRotateLogStore.yml.log,sv-benchmarks/java/argv/dble/src.main.java.com.actiontech.dble.log/DailyRotateLogStore/Main.java
DataFilePaths,71,4,0,70,4,0,0,1.77,0.74,true,1.92,0.79,true,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.DataFilePaths.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.DataFilePaths.yml.log,sv-benchmarks/java/argv/CoreNLP/src.edu.stanford.nlp.util/DataFilePaths/Main.java
DatabaseUrlReplacer,1127,9,0,276,9,0,0,2.75,1.81,unknown,2.75,1.09,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.DatabaseUrlReplacer.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.DatabaseUrlReplacer.yml.log,sv-benchmarks/java/argv/datavines/datavines-engine.datavines-engine-plugins.datavines-engine-flink.datavines-engine-flink-connector-jdbc.src.main.java.io.datavines.engine.flink.jdbc.utils/DatabaseUrlReplacer/Main.java
DesyncBox,62,3,0,188,3,0,0,1.78,0.78,false,2.4,0.93,false,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.DesyncBox.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.DesyncBox.yml.log,sv-benchmarks/java/argv/http-request-smuggler/src.burp/DesyncBox/Main.java
DirectObjectLessonIT,114,12,0,5879,11,0,0,60.45,59.49,TIMEOUT,22.07,10.92,OUT OF MEMORY,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.DirectObjectLessonIT.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.DirectObjectLessonIT.yml.log,sv-benchmarks/java/argv/SecurityShepherd/src.it.java.servlets.module.lesson/DirectObjectLessonIT/Main.java
DolphinSchedulerTokenManager_1_X,47,2,0,23,2,0,0,1.78,0.74,true,1.86,0.78,true,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.DolphinSchedulerTokenManager_1_X.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.DolphinSchedulerTokenManager_1_X.yml.log,sv-benchmarks/java/argv/DataSphereStudio/dss-appconn.appconns.dss-dolphinscheduler-appconn.src.main.java.com.webank.wedatasphere.dss.appconn.dolphinscheduler.sso/DolphinSchedulerTokenManager_1_X/Main.java
DomXPathNamespaceResolver,47,3,0,30,3,0,0,1.71,0.73,unknown,1.73,0.76,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.DomXPathNamespaceResolver.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.DomXPathNamespaceResolver.yml.log,sv-benchmarks/java/argv/camunda-bpm-platform/spin.dataformat-xml-dom.src.main.java.org.camunda.spin.impl.xml.dom.query/DomXPathNamespaceResolver/Main.java
ElideStandaloneExportTest,256,24,0,316,24,0,0,2.21,0.94,true,3.0,1.1,true,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.ElideStandaloneExportTest.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.ElideStandaloneExportTest.yml.log,sv-benchmarks/java/argv/elide/elide-standalone.src.test.java.example/ElideStandaloneExportTest/Main.java
EnableScoreboardIT,180,14,1,12036,6,0,0,2.2,0.94,unknown,27.6,13.62,OUT OF MEMORY,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.EnableScoreboardIT.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.EnableScoreboardIT.yml.log,sv-benchmarks/java/argv/SecurityShepherd/src.it.java.servlets.admin.config/EnableScoreboardIT/Main.java
ExtensibilityTest,186,14,0,204,14,0,0,2.16,0.91,true,2.55,0.99,true,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.ExtensibilityTest.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.ExtensibilityTest.yml.log,sv-benchmarks/java/argv/hippo4j/infra.common.src.test.java.cn.hippo4j.common.toolkit/ExtensibilityTest/Main.java
ExternalProcessOutputParser,53,2,0,16,2,0,0,1.79,0.77,false,1.84,0.77,false,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.ExternalProcessOutputParser.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.ExternalProcessOutputParser.yml.log,sv-benchmarks/java/argv/Arduino/arduino-core.src.cc.arduino.i18n/ExternalProcessOutputParser/Main.java
ExtractorVerbalVBNZero,70,6,0,37,6,0,0,1.76,0.75,true,1.83,0.77,true,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.ExtractorVerbalVBNZero.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.ExtractorVerbalVBNZero.yml.log,sv-benchmarks/java/argv/CoreNLP/src.edu.stanford.nlp.tagger.maxent/ExtractorVerbalVBNZero/Main.java
FFmpegParser,30,2,0,57,2,0,0,27.7,26.8,OUT OF MEMORY,1.86,0.78,true,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.FFmpegParser.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.FFmpegParser.yml.log,sv-benchmarks/java/argv/BilibiliDown/src.nicelee.bilibili.parsers.impl/FFmpegParser/Main.java
FSFunction,50,2,0,24,2,0,0,1.62,0.71,true,1.72,0.72,true,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.FSFunction.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.FSFunction.yml.log,sv-benchmarks/java/argv/OpenPDF/openpdf-html.src.main.java.org.openpdf.css.parser/FSFunction/Main.java
FileUtils,40,2,0,28,2,0,0,1.77,0.74,false,1.89,0.78,false,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.FileUtils.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.FileUtils.yml.log,sv-benchmarks/java/argv/Sermant/sermant-agentcore.sermant-agentcore-core.src.main.java.io.sermant.core.utils/FileUtils/Main.java
FileUtils,40,2,0,28,2,0,0,1.77,0.74,false,1.88,0.86,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.FileUtils.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.FileUtils.yml.log,sv-benchmarks/java/argv/Sermant/sermant-agentcore.sermant-agentcore-core.src.main.java.io.sermant.core.utils/FileUtils/Main.java
FileUtils,40,2,0,28,2,0,0,3.56,2.31,unknown,1.89,0.78,false,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.FileUtils.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.FileUtils.yml.log,sv-benchmarks/java/argv/Sermant/sermant-agentcore.sermant-agentcore-core.src.main.java.io.sermant.core.utils/FileUtils/Main.java
FileUtils,40,2,0,28,2,0,0,3.56,2.31,unknown,1.88,0.86,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.FileUtils.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.FileUtils.yml.log,sv-benchmarks/java/argv/Sermant/sermant-agentcore.sermant-agentcore-core.src.main.java.io.sermant.core.utils/FileUtils/Main.java
FreeMarkerScriptEngineFactory,85,7,0,254,7,0,0,1.88,0.78,false,2.58,1.01,false,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.FreeMarkerScriptEngineFactory.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.FreeMarkerScriptEngineFactory.yml.log,sv-benchmarks/java/argv/camunda-bpm-platform/freemarker-template-engine.src.main.java.org.camunda.templateengines/FreeMarkerScriptEngineFactory/Main.java
GoogleCloudExtensionModule,36,2,0,28,2,0,0,1.61,0.71,false,1.73,0.74,false,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.GoogleCloudExtensionModule.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.GoogleCloudExtensionModule.yml.log,sv-benchmarks/java/argv/data-transfer-project/extensions.cloud.portability-cloud-google.src.main.java.org.datatransferproject.cloud.google/GoogleCloudExtensionModule/Main.java
HTMLEditorUtils,221,24,0,302,24,0,0,1.9,0.88,true,2.9,1.07,true,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.HTMLEditorUtils.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.HTMLEditorUtils.yml.log,sv-benchmarks/java/argv/document-management-system/src.main.java.com.openkm.extension.frontend.client.widget.htmleditor/HTMLEditorUtils/Main.java
HtpasswdFileUserAuthenticator,98,5,0,86,5,0,0,1.83,0.79,unknown,2.11,0.84,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.HtpasswdFileUserAuthenticator.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.HtpasswdFileUserAuthenticator.yml.log,sv-benchmarks/java/argv/drill/exec.java-exec.src.main.java.org.apache.drill.exec.rpc.user.security/HtpasswdFileUserAuthenticator/Main.java
HttpRouter,55,4,0,29,4,0,0,1.71,0.72,false,1.68,0.71,false,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.HttpRouter.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.HttpRouter.yml.log,sv-benchmarks/java/argv/Sermant/sermant-agentcore.sermant-agentcore-implement.src.main.java.io.sermant.implement.service.httpserver.common/HttpRouter/Main.java
IdentifiersRegister,25,1,0,18,1,0,0,1.6,0.69,unknown,1.67,0.7,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.IdentifiersRegister.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.IdentifiersRegister.yml.log,sv-benchmarks/java/argv/java/structurizr-dsl.src.main.java.com.structurizr.dsl/IdentifiersRegister/Main.java
ImageKit,44,2,0,22,2,0,0,2.19,0.84,false,2.22,0.87,false,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.ImageKit.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.ImageKit.yml.log,sv-benchmarks/java/argv/jfinal/src.main.java.com.jfinal.kit/ImageKit/Main.java
ImageName,33,1,0,30,1,0,0,1.62,0.71,unknown,1.83,0.74,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.ImageName.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.ImageName.yml.log,sv-benchmarks/java/argv/docker-maven-plugin/src.main.java.io.fabric8.maven.docker.util/ImageName/Main.java
ImpersonationUtil,26,1,0,23,1,0,0,1.53,0.68,unknown,1.75,0.72,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.ImpersonationUtil.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.ImpersonationUtil.yml.log,sv-benchmarks/java/argv/drill/exec.java-exec.src.main.java.org.apache.drill.exec.util/ImpersonationUtil/Main.java
ItemFuncGetFormat,344,36,0,168,36,0,0,2.25,1.04,true,2.67,1.06,true,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.ItemFuncGetFormat.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.ItemFuncGetFormat.yml.log,sv-benchmarks/java/argv/dble/src.main.java.com.actiontech.dble.plan.common.item.function.timefunc/ItemFuncGetFormat/Main.java
Items,24937,862,0,24044,1102,0,0,28.04,26.07,true,42.33,26.1,true,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.Items.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.Items.yml.log,sv-benchmarks/java/argv/EnchantmentCracker/src.enchcracker/Items/Main.java
JavaWebClassVisitor,36,2,0,272,6,0,0,1.6,0.71,true,2.56,0.99,true,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.JavaWebClassVisitor.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.JavaWebClassVisitor.yml.log,sv-benchmarks/java/argv/jar-analyzer/src.main.java.me.n1ar4.jar.analyzer.core.asm/JavaWebClassVisitor/Main.java
Jianpian,61,4,0,54,4,0,0,1.87,0.75,unknown,2.11,0.84,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.Jianpian.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.Jianpian.yml.log,sv-benchmarks/java/argv/CatVodSpider/app.src.main.java.com.github.catvod.spider/Jianpian/Main.java
KBPAnnotatorBenchmark,150,14,0,349,14,0,0,1.95,0.82,true,3.08,1.19,true,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.KBPAnnotatorBenchmark.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.KBPAnnotatorBenchmark.yml.log,sv-benchmarks/java/argv/CoreNLP/itest.src.edu.stanford.nlp.pipeline/KBPAnnotatorBenchmark/Main.java
KeycloakExportProvider,47,2,0,74,2,0,0,1.64,0.72,true,2.0,0.83,true,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.KeycloakExportProvider.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.KeycloakExportProvider.yml.log,sv-benchmarks/java/argv/keycloak-config-cli/src.main.java.de.adorsys.keycloak.config.provider/KeycloakExportProvider/Main.java
KeycloakImportProvider,47,2,0,81,2,0,0,1.66,0.71,true,1.9,0.81,true,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.KeycloakImportProvider.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.KeycloakImportProvider.yml.log,sv-benchmarks/java/argv/keycloak-config-cli/src.main.java.de.adorsys.keycloak.config.provider/KeycloakImportProvider/Main.java
MWTAnnotator,37,2,0,17,2,0,0,1.65,0.72,false,1.89,0.8,false,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.MWTAnnotator.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.MWTAnnotator.yml.log,sv-benchmarks/java/argv/CoreNLP/src.edu.stanford.nlp.pipeline/MWTAnnotator/Main.java
MessageConsumerOutputStream,118,8,1,22,3,0,0,1.8,0.79,unknown,61.02,56.33,TIMEOUT,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.MessageConsumerOutputStream.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.MessageConsumerOutputStream.yml.log,sv-benchmarks/java/argv/Arduino/arduino-core.src.cc.arduino/MessageConsumerOutputStream/Main.java
ModulePlan,58,4,0,49,4,0,0,1.67,0.7,false,1.79,0.75,false,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.ModulePlan.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.ModulePlan.yml.log,sv-benchmarks/java/argv/SecurityShepherd/src.main.java.utils/ModulePlan/Main.java
NewMybatisProcessor,164,8,0,88,8,0,0,1.72,0.8,true,2.04,0.81,true,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.NewMybatisProcessor.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.NewMybatisProcessor.yml.log,sv-benchmarks/java/argv/MoonBox/moonbox-agent.moonbox-java-agent.moonbox-plugins.repeater.mybatis-plugin.src.main.java.com.alibaba.jvm.sandbox.repeater.plugin.mybatis/NewMybatisProcessor/Main.java
OracleDbmsDialect,38,2,0,23,2,0,0,1.73,0.74,false,1.69,0.73,false,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.OracleDbmsDialect.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.OracleDbmsDialect.yml.log,sv-benchmarks/java/argv/blaze-persistence/core.impl.src.main.java.com.blazebit.persistence.impl.dialect/OracleDbmsDialect/Main.java
Output,43,3,0,35,3,0,0,1.79,0.74,false,1.77,0.77,false,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.Output.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.Output.yml.log,sv-benchmarks/java/argv/dexcount-gradle-plugin/src.main.java.com.android.dexdeps/Output/Main.java
PDFFontEncoding,73,6,0,240,6,0,0,1.65,0.73,false,2.54,0.98,false,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.PDFFontEncoding.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.PDFFontEncoding.yml.log,sv-benchmarks/java/argv/OpenPDF/openpdf-renderer.src.main.java.org.openpdf.renderer.font/PDFFontEncoding/Main.java
PathUtil,1970,126,0,2398,126,0,0,4.34,2.82,true,10.13,3.47,true,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.PathUtil.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.PathUtil.yml.log,sv-benchmarks/java/argv/forest/forest-examples.example-solon.src.main.java.com.dtflys.forest.example.utils/PathUtil/Main.java
PathUtil,1970,126,0,2398,126,0,0,4.34,2.82,true,1.8,0.78,true,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.PathUtil.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.PathUtil.yml.log,sv-benchmarks/java/argv/forest/forest-examples.example-solon.src.main.java.com.dtflys.forest.example.utils/PathUtil/Main.java
PathUtil,1970,126,0,2398,126,0,0,2.79,1.67,true,10.13,3.47,true,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.PathUtil.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.PathUtil.yml.log,sv-benchmarks/java/argv/forest/forest-examples.example-solon.src.main.java.com.dtflys.forest.example.utils/PathUtil/Main.java
PathUtil,1970,126,0,2398,126,0,0,2.79,1.67,true,1.8,0.78,true,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.PathUtil.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.PathUtil.yml.log,sv-benchmarks/java/argv/forest/forest-examples.example-solon.src.main.java.com.dtflys.forest.example.utils/PathUtil/Main.java
PathUtil_1,2076,126,0,2300,126,0,0,4.37,2.91,true,9.79,3.39,true,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.PathUtil_1.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.PathUtil_1.yml.log,sv-benchmarks/java/argv/forest/forest-examples.example-springboot.src.main.java.com.dtflys.forest.example.utils/PathUtil_1/Main.java
PathUtil_2,2120,126,0,2599,126,0,0,4.47,2.94,true,10.43,3.65,true,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.PathUtil_2.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.PathUtil_2.yml.log,sv-benchmarks/java/argv/forest/forest-examples.example-springboot3.src.main.java.com.dtflys.forest.forestspringboot3example.utils/PathUtil_2/Main.java
PermissionsFragment,36,2,0,26,2,0,0,1.66,0.72,true,1.83,0.87,true,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.PermissionsFragment.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.PermissionsFragment.yml.log,sv-benchmarks/java/argv/APK-Explorer-Editor/app.src.main.java.com.apk.editor.fragments/PermissionsFragment/Main.java
PineConfig,45,1,0,20,1,0,0,1.74,0.77,unknown,1.62,0.73,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.PineConfig.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.PineConfig.yml.log,sv-benchmarks/java/argv/pine/core.src.main.java.top.canyie.pine/PineConfig/Main.java
PluginManifestParser,72,4,0,30,4,0,0,1.69,0.73,true,1.72,0.73,true,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.PluginManifestParser.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.PluginManifestParser.yml.log,sv-benchmarks/java/argv/Android-Plugin-Framework/FairyPlugin.src.main.java.com.limpoxe.fairy.manager/PluginManifestParser/Main.java
PoorValidationLessonIT,96,11,0,6104,114,0,0,60.45,59.53,TIMEOUT,17.64,7.39,true,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.PoorValidationLessonIT.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.PoorValidationLessonIT.yml.log,sv-benchmarks/java/argv/SecurityShepherd/src.it.java.servlets.module.lesson/PoorValidationLessonIT/Main.java
ProtocolRigidityTest,36,2,0,43,2,0,0,1.78,0.74,true,1.8,0.73,true,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.ProtocolRigidityTest.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.ProtocolRigidityTest.yml.log,sv-benchmarks/java/argv/hippo4j/infra.common.src.test.java.cn.hippo4j.common.toolkit/ProtocolRigidityTest/Main.java
PunctEquivalenceClasser,60,3,0,33,3,0,0,1.64,0.72,unknown,1.81,0.75,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.PunctEquivalenceClasser.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.PunctEquivalenceClasser.yml.log,sv-benchmarks/java/argv/CoreNLP/src.edu.stanford.nlp.parser.tools/PunctEquivalenceClasser/Main.java
ReloadStatus,68,6,0,51,6,0,0,1.7,0.72,true,1.79,0.74,true,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.ReloadStatus.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.ReloadStatus.yml.log,sv-benchmarks/java/argv/dble/src.main.java.com.actiontech.dble.meta/ReloadStatus/Main.java
