bench,Z3-time (ms),Z3-calls,Z3-error,ASTR-time (ms),ASTR-calls,ASTR-error,SPF-error,spf-z3-cputime (s),spf-z3-walltime (s),z3-status,spf-astr-cputime (s),spf-astr-walltime (s),astr-status,astr-log,z3-log,benchmark
AppInstanceConstants,26,2,0,0,1,1,0,1.8,0.78,true,1.69,0.74,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.AppInstanceConstants.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.AppInstanceConstants.yml.log,sv-benchmarks/java/argv/DataSphereStudio/dss-appconn.dss-appconn-manager.dss-appconn-manager-core.src.main.java.com.webank.wedatasphere.dss.appconn.manager.utils/AppInstanceConstants/Main.java
ApproximateStringMatcher,0,1,0,0,1,0,1,1.97,0.81,unknown,1.79,0.79,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.ApproximateStringMatcher.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.ApproximateStringMatcher.yml.log,sv-benchmarks/java/argv/drill/exec.java-exec.src.main.java.org.apache.drill.exec.util/ApproximateStringMatcher/Main.java
ArgLineParser,0,1,1,0,1,1,1,2.05,0.87,unknown,1.93,0.8,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.ArgLineParser.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.ArgLineParser.yml.log,sv-benchmarks/java/argv/pitest/pitest-entry.src.main.java.org.pitest.process/ArgLineParser/Main.java
ArraySliceOperation,45,4,0,15,2,1,0,1.79,0.75,false,1.76,0.76,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.ArraySliceOperation.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.ArraySliceOperation.yml.log,sv-benchmarks/java/argv/JsonPath/json-path.src.main.java.com.jayway.jsonpath.internal.path/ArraySliceOperation/Main.java
AssertDeleteStatement,6188,16,0,97,5,1,1,7.87,6.9,true,2.11,0.84,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.AssertDeleteStatement.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.AssertDeleteStatement.yml.log,sv-benchmarks/java/argv/blaze-persistence/testsuite-base.assertion.src.main.java.com.blazebit.persistence.testsuite.base.jpa.assertion/AssertDeleteStatement/Main.java
AssertSelectStatement,5247,6,0,85,6,1,0,6.93,5.94,unknown,2.01,0.85,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.AssertSelectStatement.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.AssertSelectStatement.yml.log,sv-benchmarks/java/argv/blaze-persistence/testsuite-base.assertion.src.main.java.com.blazebit.persistence.testsuite.base.jpa.assertion/AssertSelectStatement/Main.java
AssetUtil,28,2,0,0,1,1,0,1.7,0.76,unknown,1.64,0.74,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.AssetUtil.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.AssetUtil.yml.log,sv-benchmarks/java/argv/cordova-plugin-local-notifications/src.android.util/AssetUtil/Main.java
AudioDecoder,747,22,0,0,1,1,0,2.87,1.54,false,1.79,0.78,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.AudioDecoder.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.AudioDecoder.yml.log,sv-benchmarks/java/argv/Nullgram/TMessagesProj.src.main.java.org.telegram.messenger.video/AudioDecoder/Main.java
BaseHandler,730,45,1,0,1,1,0,2.97,1.59,unknown,1.8,0.78,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.BaseHandler.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.BaseHandler.yml.log,sv-benchmarks/java/argv/jar-analyzer/src.main.java.me.n1ar4.jar.analyzer.server.handler.base/BaseHandler/Main.java
BashUtils,2385,132,0,0,1,1,0,5.71,4.02,true,1.68,0.71,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.BashUtils.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.BashUtils.yml.log,sv-benchmarks/java/argv/Qualitis/web.common.src.main.java.com.webank.wedatasphere.qualitis.util/BashUtils/Main.java
BeanShellUtil,68,5,0,37,5,0,0,1.69,0.69,false,1.76,0.75,false,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.BeanShellUtil.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.BeanShellUtil.yml.log,sv-benchmarks/java/argv/JYso/src.main.java.com.qi4l.JYso.gadgets.utils.beanshell/BeanShellUtil/Main.java
BigIntegerConverter,58,4,0,34,4,0,0,1.91,0.77,false,2.05,0.83,false,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.BigIntegerConverter.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.BigIntegerConverter.yml.log,sv-benchmarks/java/argv/TLS-Attacker/TLS-Core.src.main.java.de.rub.nds.tlsattacker.core.config.converters/BigIntegerConverter/Main.java
Bili,24,2,0,0,1,1,0,1.88,0.76,false,1.94,0.8,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.Bili.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.Bili.yml.log,sv-benchmarks/java/argv/CatVodSpider/app.src.main.java.com.github.catvod.spider/Bili/Main.java
BindParamsParser,25,2,1,0,1,1,0,1.67,0.7,unknown,1.75,0.74,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.BindParamsParser.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.BindParamsParser.yml.log,sv-benchmarks/java/argv/ebean/ebean-core.src.main.java.io.ebeaninternal.server.util/BindParamsParser/Main.java
Bitmap,269,29,1,0,1,1,1,2.33,1.04,unknown,1.77,0.76,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.Bitmap.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.Bitmap.yml.log,sv-benchmarks/java/argv/delverengine/core.src.main.java.com.interrupt.dungeoneer.gfx/Bitmap/Main.java
BookmarksFragment,0,1,1,19,2,0,0,1.56,0.68,unknown,1.82,0.77,true,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.BookmarksFragment.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.BookmarksFragment.yml.log,sv-benchmarks/java/argv/Nullgram/TMessagesProj.src.main.java.org.telegram.ui.web/BookmarksFragment/Main.java
Browser,216,13,0,0,1,1,0,2.15,0.98,false,1.76,0.75,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.Browser.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.Browser.yml.log,sv-benchmarks/java/argv/Nullgram/TMessagesProj.src.main.java.org.telegram.messenger.browser/Browser/Main.java
Browser_1,212,13,0,0,1,1,0,2.03,0.98,false,1.6,0.71,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.Browser_1.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.Browser_1.yml.log,sv-benchmarks/java/argv/chatAir/TMessagesProj.src.main.java.org.telegram.messenger.browser/Browser_1/Main.java
BuildCompat,26,1,0,16,1,0,1,1.58,0.71,unknown,1.62,0.71,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.BuildCompat.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.BuildCompat.yml.log,sv-benchmarks/java/argv/Thanox/android.android_framework.base.src.main.java.github.tornaco.android.thanos.core.compat/BuildCompat/Main.java
CCursorKeyBehavior,33423,3445,0,0,1,1,0,60.79,57.01,TIMEOUT,1.65,0.72,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.CCursorKeyBehavior.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.CCursorKeyBehavior.yml.log,sv-benchmarks/java/argv/bindiff/java.zylib.src.main.java.com.google.security.zynamics.zylib.gui.zygraph.realizers.KeyBehaviours/CCursorKeyBehavior/Main.java
CDelKeyBehavior,618,68,0,0,1,1,0,3.61,1.94,false,2.04,0.82,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.CDelKeyBehavior.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.CDelKeyBehavior.yml.log,sv-benchmarks/java/argv/bindiff/java.zylib.src.main.java.com.google.security.zynamics.zylib.gui.zygraph.realizers.KeyBehaviours/CDelKeyBehavior/Main.java
CIDRUtils,47,2,0,25,2,0,0,1.7,0.75,false,1.83,0.76,false,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.CIDRUtils.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.CIDRUtils.yml.log,sv-benchmarks/java/argv/Arduino/arduino-core.src.edazdarevic.commons.net/CIDRUtils/Main.java
CMultiCommentLineTokenizer,90,8,0,0,1,0,1,1.94,0.85,true,1.6,0.71,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.CMultiCommentLineTokenizer.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.CMultiCommentLineTokenizer.yml.log,sv-benchmarks/java/argv/bindiff/java.zylib.src.main.java.com.google.security.zynamics.zylib.gui.zygraph.realizers.KeyBehaviours.Tokenizer/CMultiCommentLineTokenizer/Main.java
CReturnKeyBehavior,10229,1136,0,0,1,1,0,17.89,14.5,true,1.78,0.74,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.CReturnKeyBehavior.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.CReturnKeyBehavior.yml.log,sv-benchmarks/java/argv/bindiff/java.zylib.src.main.java.com.google.security.zynamics.zylib.gui.zygraph.realizers.KeyBehaviours/CReturnKeyBehavior/Main.java
CSV,0,1,1,0,1,0,1,1.66,0.71,unknown,1.58,0.7,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.CSV.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.CSV.yml.log,sv-benchmarks/java/argv/jfreechart/src.main.java.org.jfree.data.io/CSV/Main.java
CTemplateNumberFormat,113,13,0,0,1,1,1,1.82,0.81,false,1.68,0.72,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.CTemplateNumberFormat.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.CTemplateNumberFormat.yml.log,sv-benchmarks/java/argv/freemarker/freemarker-core.src.main.java.freemarker.core/CTemplateNumberFormat/Main.java
CallingCodeInfo,49,3,0,15,3,1,1,1.82,0.76,unknown,1.87,0.76,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.CallingCodeInfo.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.CallingCodeInfo.yml.log,sv-benchmarks/java/argv/Nullgram/TMessagesProj.src.main.java.org.telegram.PhoneFormat/CallingCodeInfo/Main.java
CallingCodeInfo_1,48,3,0,14,3,1,1,1.7,0.74,unknown,1.78,0.74,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.CallingCodeInfo_1.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.CallingCodeInfo_1.yml.log,sv-benchmarks/java/argv/chatAir/TMessagesProj.src.main.java.org.telegram.PhoneFormat/CallingCodeInfo_1/Main.java
CamundaBpmRunAuthenticationProperties,41,2,0,21,2,0,0,1.74,0.75,false,1.76,0.73,false,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.CamundaBpmRunAuthenticationProperties.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.CamundaBpmRunAuthenticationProperties.yml.log,sv-benchmarks/java/argv/camunda-bpm-platform/distro.run.core.src.main.java.org.camunda.bpm.run.property/CamundaBpmRunAuthenticationProperties/Main.java
CategoryWordTag,83,7,0,0,1,1,0,1.89,0.82,false,1.77,0.75,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.CategoryWordTag.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.CategoryWordTag.yml.log,sv-benchmarks/java/argv/CoreNLP/src.edu.stanford.nlp.ling/CategoryWordTag/Main.java
Cell,55,3,0,20,2,1,0,1.76,0.75,false,1.79,0.74,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.Cell.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.Cell.yml.log,sv-benchmarks/java/argv/OpenPDF/openpdf-core.src.main.java.org.openpdf.text/Cell/Main.java
Cell,55,3,0,20,2,1,0,1.76,0.75,false,1.91,0.82,false,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.Cell.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.Cell.yml.log,sv-benchmarks/java/argv/OpenPDF/openpdf-core.src.main.java.org.openpdf.text/Cell/Main.java
Cell,55,3,0,20,2,1,0,1.56,0.65,false,1.79,0.74,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.Cell.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.Cell.yml.log,sv-benchmarks/java/argv/OpenPDF/openpdf-core.src.main.java.org.openpdf.text/Cell/Main.java
Cell,55,3,0,20,2,1,0,1.56,0.65,false,1.91,0.82,false,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.Cell.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.Cell.yml.log,sv-benchmarks/java/argv/OpenPDF/openpdf-core.src.main.java.org.openpdf.text/Cell/Main.java
CentralCollector,43,2,0,37,2,1,0,1.66,0.7,true,1.85,0.76,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.CentralCollector.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.CentralCollector.yml.log,sv-benchmarks/java/argv/glowroot/agent.core.src.main.java.org.glowroot.agent.central/CentralCollector/Main.java
ChangeUsernameActivity,144,15,1,0,1,1,0,2.17,0.97,unknown,1.79,0.76,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.ChangeUsernameActivity.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.ChangeUsernameActivity.yml.log,sv-benchmarks/java/argv/chatAir/TMessagesProj.src.main.java.org.telegram.ui/ChangeUsernameActivity/Main.java
Chromium,20173,2485,0,30,2,1,0,45.58,40.96,unknown,1.92,0.8,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.Chromium.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.Chromium.yml.log,sv-benchmarks/java/argv/autopsy/RecentActivity.src.org.sleuthkit.autopsy.recentactivity/Chromium/Main.java
ClassPathProcessApplicationScanner,76,6,0,30,2,0,1,1.73,0.75,true,1.69,0.75,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.ClassPathProcessApplicationScanner.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.ClassPathProcessApplicationScanner.yml.log,sv-benchmarks/java/argv/camunda-bpm-platform/engine.src.main.java.org.camunda.bpm.container.impl.deployment.scanning/ClassPathProcessApplicationScanner/Main.java
CleanNodeFormatter,147,8,0,87,8,0,0,1.93,0.86,true,2.04,0.84,true,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.CleanNodeFormatter.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.CleanNodeFormatter.yml.log,sv-benchmarks/java/argv/leetcode-editor/src.main.java.com.shuzijun.leetcode.plugin.utils.doc/CleanNodeFormatter/Main.java
Cling,130,11,0,203,11,0,1,1.91,0.81,unknown,2.57,0.99,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.Cling.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.Cling.yml.log,sv-benchmarks/java/argv/SPatch-Update/app.src.main.java.com.android.launcher2/Cling/Main.java
ClojureUtil,74,5,0,40,5,0,0,1.7,0.71,false,1.78,0.74,false,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.ClojureUtil.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.ClojureUtil.yml.log,sv-benchmarks/java/argv/JYso/src.main.java.com.qi4l.JYso.gadgets.utils.clojure/ClojureUtil/Main.java
CoNLLBenchmark,72,3,0,39,5,0,0,60.43,59.69,TIMEOUT,2.0,0.83,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.CoNLLBenchmark.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.CoNLLBenchmark.yml.log,sv-benchmarks/java/argv/CoreNLP/src.edu.stanford.nlp.loglinear.benchmarks/CoNLLBenchmark/Main.java
CoNLLFeaturizer,65,3,0,35,4,0,0,60.43,59.78,TIMEOUT,1.76,0.74,true,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.CoNLLFeaturizer.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.CoNLLFeaturizer.yml.log,sv-benchmarks/java/argv/CoreNLP/src.edu.stanford.nlp.loglinear.benchmarks/CoNLLFeaturizer/Main.java
CoNLLUDocumentWriter,11197,1238,0,0,1,1,1,17.28,14.27,true,1.78,0.77,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.CoNLLUDocumentWriter.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.CoNLLUDocumentWriter.yml.log,sv-benchmarks/java/argv/CoreNLP/src.edu.stanford.nlp.trees.ud/CoNLLUDocumentWriter/Main.java
ColorParser,36,2,1,0,1,0,1,1.76,0.76,unknown,1.68,0.73,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.ColorParser.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.ColorParser.yml.log,sv-benchmarks/java/argv/Nullgram/TMessagesProj.src.main.java.com.google.android.exoplayer2.util/ColorParser/Main.java
ColorParser_1,27,2,1,0,1,0,1,1.75,0.74,unknown,1.69,0.72,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.ColorParser_1.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.ColorParser_1.yml.log,sv-benchmarks/java/argv/chatAir/TMessagesProj.src.main.java.com.google.android.exoplayer2.util/ColorParser_1/Main.java
CommandPattern,288,31,1,0,1,1,1,2.58,1.16,unknown,1.8,0.75,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.CommandPattern.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.CommandPattern.yml.log,sv-benchmarks/java/argv/coffee-gb/core.src.main.java.eu.rekawek.coffeegb.core.debug/CommandPattern/Main.java
CommentManager,550,44,0,0,1,1,0,2.75,1.4,true,1.6,0.68,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.CommentManager.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.CommentManager.yml.log,sv-benchmarks/java/argv/Thanox/android.app.src.main.java.github.tornaco.thanos.android.module.profile.codeditor.plugin/CommentManager/Main.java
CompactMediaTypeIdConverter,10111,510,0,0,1,1,0,16.37,13.87,true,1.6,0.68,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.CompactMediaTypeIdConverter.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.CompactMediaTypeIdConverter.yml.log,sv-benchmarks/java/argv/jjwt/impl.src.main.java.io.jsonwebtoken.impl.lang/CompactMediaTypeIdConverter/Main.java
ComparisonCompactor,32809,3204,0,25,2,1,0,60.89,56.38,TIMEOUT,1.75,0.79,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.ComparisonCompactor.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.ComparisonCompactor.yml.log,sv-benchmarks/java/argv/junit4/src.main.java.junit.framework/ComparisonCompactor/Main.java
CompoundEmoji,44,4,0,0,1,1,0,1.76,0.74,true,1.64,0.73,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.CompoundEmoji.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.CompoundEmoji.yml.log,sv-benchmarks/java/argv/Nullgram/TMessagesProj.src.main.java.org.telegram.messenger/CompoundEmoji/Main.java
Config,15,1,1,0,1,1,0,1.92,0.8,unknown,1.84,0.77,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.Config.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.Config.yml.log,sv-benchmarks/java/argv/leetcode-editor/src.main.java.com.shuzijun.leetcode.plugin.model/Config/Main.java
Config_1,30,1,0,21,1,0,3,1.72,0.74,unknown,1.72,0.72,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.Config_1.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.Config_1.yml.log,sv-benchmarks/java/argv/mcaselector/src.main.java.net.querz.mcaselector.config/Config_1/Main.java
Converter,40,3,1,23,3,1,0,1.62,0.7,unknown,1.75,0.75,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.Converter.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.Converter.yml.log,sv-benchmarks/java/argv/californium/cf-pubsub.src.main.java.org.eclipse.californium.pubsub/Converter/Main.java
CoreOjClassLoader,49,2,0,33,2,0,0,1.67,0.74,true,1.74,0.77,true,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.CoreOjClassLoader.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.CoreOjClassLoader.yml.log,sv-benchmarks/java/argv/AndroidHiddenApiBypass/library.src.main.java.org.lsposed.hiddenapibypass/CoreOjClassLoader/Main.java
CoreTextContentNodeRenderer,60,4,0,24,3,1,0,1.81,0.78,true,1.75,0.72,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.CoreTextContentNodeRenderer.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.CoreTextContentNodeRenderer.yml.log,sv-benchmarks/java/argv/commonmark-java/commonmark.src.main.java.org.commonmark.renderer.text/CoreTextContentNodeRenderer/Main.java
CronTabUtils,205,22,0,0,1,1,0,1.98,0.94,unknown,1.68,0.73,unknown,results-verified/astr/logfiles/SV-COMP26_no-runtime-exception.CronTabUtils.yml.log,results-verified/z3/logfiles/SV-COMP26_no-runtime-exception.CronTabUtils.yml.log,sv-benchmarks/java/argv/document-management-system/src.main.java.com.openkm.util/CronTabUtils/Main.java
